tier,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak
GRANDMASTER,24cAs-CGXdsTvfARau_OUVaTmfSiHR1UsfFhTxQqg_BOI6yBpgsh_FpA7Q,운이 좋았던 날,572,336,276,False,False,False,True
GRANDMASTER,_ullceCGcUFe7xz4AwbW_jDQ4_pPmWUQCT0dW-toYAgHhIXKq1AOqHkuww,로se,422,967,862,True,False,False,False
GRANDMASTER,WbwOM3lW6D2sNiJ32XfyQ9fEYLW-wXL6uACRmj83bAZL-1APdbpY_CLnww,DE5APARECER,437,137,112,False,False,False,False
GRANDMASTER,2dKDCgbgxELlZCAU6HqEbjh-yD8GgNkA1C_TgpyK-BfDhmx9BS6Wo6Cmrg,FA Kadal,683,164,118,False,False,True,False
GRANDMASTER,2Abwa3F5-ICgN-LSgwv_P9IKyzbkhY4nCkcGkNMq7r9XLQ,Twitch 다훈갓,472,542,509,False,False,True,True
GRANDMASTER,b5zz8gfnf0Lwu3cpa6F4QynhANp9bCp2usEit4tn4Dg9xXU,BRO Listo,607,866,826,False,False,True,False
GRANDMASTER,b1p95cveyUcnwJNW3I0uRuiTXSO5bABJeAz3Ads8UqIrTg,Cend,511,141,86,False,False,False,True
GRANDMASTER,6WiaZKHRine_BodQIAutjnHjd9UVke70L01LPPkYOMzLJA,이그 올,517,516,464,False,False,False,False
GRANDMASTER,cOW-vjX4P7m8R3PY_CEvoCCR3iujghS1ZMyCw2iw5xElVUstUtT8zoKxfA,산초 바란 강두,535,273,231,False,False,False,False
GRANDMASTER,aSPepMGwyGgaBQx1xpBuF445S2RKZSOqaOGp3_CUjwnNIOQ,마레리트,676,424,365,False,False,False,False
GRANDMASTER,Hw68O-lTm2Er7-q-0-Vu2BWdNCrMMICOqNThuL2qK1hyHw,유백진입니다만,507,531,492,False,False,True,False
GRANDMASTER,A51JxD-MZhj8b069wBfcYlbHIfXJR0Qz0H_Xc313ahhuQA0, 엘 림,617,710,671,False,False,False,False
GRANDMASTER,w62Kfe1nqkq_7S4-TLTbHydF0e-XsRrEygdZd7aeNsmXoHk,yangyu XD,601,400,357,False,False,False,False
GRANDMASTER,lFea2i-WrnYR8dkpcHjCg6W-IyUOGGIeWxoioZn3SctSPqD8NFDrW_wPAA,Yang Hua,470,468,418,False,False,False,False
GRANDMASTER,gALsgx8j0XNjf5hA1hPp07QjAC56zJQ4LprASfvYc6c6zOXNxIJutIDJ0A,나는 악마다1,495,118,78,False,False,True,False
GRANDMASTER,BcMd5YMFbl4lAIMB0jLIUkD95e9auuEHuj26s8FflE-RKQ,ijijijijjji,518,343,304,False,False,False,True
GRANDMASTER,am2GDiOAXlBBXf7HvkCHWazpPDu5GYCW6rGoMFs3TauHOj5bjBB-LXi1yw,Gaga baby,520,272,222,False,False,False,True
GRANDMASTER,2r6rDd6tHB-1_9eFZCOyzGLtgqGSnRyWzazwZLPparVYCE8pueHN7T5eow,12848923,639,815,773,False,False,False,False
GRANDMASTER,kWkKGtjy_EXRPZU-J5wHLtY8EJ43GRagCnZCzoZ6c1E9rQ,00SUP,496,306,265,False,False,False,False
GRANDMASTER,74TPHGiircG80d1ATRKEvWgZAT476jpWe6BFNy840gOWRg,sanzzz,438,224,145,False,False,False,False
GRANDMASTER,lG7tH0oh-ZDm0Wa4snMsACk3MyEBZjM9xzovTblZDwhQKs0,팀개못하면누누함,730,310,264,False,False,True,False
GRANDMASTER,F6ne32hFEulxrtevJcOQSmudaFeMMfjMTvcFRI4NhSaMRNk,룬 곰,522,159,119,False,False,False,False
GRANDMASTER,ocfd-OkuOV4E_38LAnvQ3i2F5ngP3up3IDxpZ6H0TSgtstE,가마니 우럭따,530,838,794,False,False,False,False
GRANDMASTER,Dd_D1Wm2Lv4BW838iRDcl4nFISv00JZEd2QthcPiiNDTInbAjKVwdju0SA,BerylSKS,765,91,45,False,False,True,False
GRANDMASTER,18OG4zHLYktvCPkyv5MTBYhNBIelJ8bhbOhiaLeHxNuHeTCRNOnsqwtsnQ,장꾸유,480,178,127,False,False,False,False
GRANDMASTER,Il3bYfu4dSLGkvqFGrh-JUN6hwsFBjfmGB7szfIUOKVTBnA,입털면 6완두콩,590,723,674,False,False,False,True
GRANDMASTER,0o2Ou4o6DlVS65BQcWlTeZdWSzVRBufMnMPHXM9YqskHsYWFMo9n_qwyZQ,a new beginn1ng,729,758,696,True,False,False,False
GRANDMASTER,gpg1ekQxAavSWYlEZ4Jamb9q0Jw7K5426I2TfiWMjBXH3dI,Mippy,492,412,369,True,False,False,False
GRANDMASTER,Af1KzOAwKNCoGr36wDvLqOyQvRbCYQMCHk-rKK5Gyqe32p3wcBY3Du44cg,Return To U,612,223,185,True,False,False,False
GRANDMASTER,z9naewor9uJLf27f-vkawE4LQ6qgplOYHJy5hrJNfd4KJCo,Kwon TW,623,241,186,True,False,False,False
GRANDMASTER,3o4QbR6ZnVAuISRPlK-5-ODRGvnnsl86VWuF3Pfj66A1YpY,Mu nian,627,489,453,False,False,True,False
GRANDMASTER,NpVh8H8OJuyXAN4qTM8c2OSiTkYtq4Ac23TJkH1vP0LMcAk,두개의 가면,639,1104,1058,True,False,False,False
GRANDMASTER,x_eKRHTgrQ3tYuyfoDIWGKoiyZewKqNQbJBgZvvhH7sg4AA,어서잊어,639,859,790,False,False,False,False
GRANDMASTER,kbmebeZttO9LK0qGIyGhs8V-WXgqUpIir1Dc_z55waROPkE,i am Decade,536,1058,1007,False,False,True,False
GRANDMASTER,8qaN0ogqN5-Hm4AVWSrHbRk-accshN_aNGdC_nMh8qW-z0EmD5n6iMeQdw,라데시 너어,552,190,133,False,False,False,False
GRANDMASTER,pYpl4zoI-Ea699jtPqIjONcAZT-j6En14C_IkvdBRuTomg,예진님 짱,449,279,239,False,False,True,True
GRANDMASTER,Ioj5A1Mh0AIZln6Q4YUkCUo5vBJHKb0yt6KjFdKsDS4Uz3k,Taehyoung,431,699,655,False,False,True,True
GRANDMASTER,PX1B0bWfMfii0_urILx7TjVShvz1Lp4BmsbkHBFTnPDLj2XKYL2JQ3Xh2A,호시니,590,75,33,False,False,True,False
GRANDMASTER,LgCrqsqDNXStzBdPUo4EwYGXmO7PA6FQDrl5muvAU0XuRQ,tulufan,666,282,238,False,False,True,True
GRANDMASTER,cej7Mm89ITX6mY7TtWmR1umlpkigCvl8RrYX3MOuWIeDf69r-B6UDbzFLg,Bilibili soO,558,451,367,False,False,False,False
GRANDMASTER,O-EL-EiCJRvnRrrnpXVCXRxxaAhh0MtOET1hthCp8tSA06TH0cagx6tVCQ,   rap zzx,531,220,150,False,False,True,False
GRANDMASTER,y7AKxAJLrshWk1cM79JHVXXIiKCyj36hUybnuoAjcIONhm29GKxTiQX8TQ,챌린저 그까짓꺼,539,105,56,False,False,True,True
